编号,位置,区,房型,所处楼层级别,总楼层数,建造年份,面积,朝向,关注数,是否有VR房源,是否近地铁,单位价格,挂牌年,挂牌月,挂牌日,总价,纬度,经度
10276,成华区东丽街138号,2,3|1,2,20,2009,92.46,3,19,1,1,16764.0,2019,11,8,155.0,30.716354199842982,104.11698262212047
10277,成华区羊子山路8号,2,2|1,1,17,2010,74.9,8,21,1,1,19359.1,2018,6,5,145.0,30.708959702508288,104.10034250966723
10278,成华区华盛路保利林语溪二期,2,3|2,3,32,2017,93.9,3,11,1,0,17039.4,2019,5,14,160.0,30.704576275153126,104.19230913235417
10279,成华区新风巷1号,2,5|2,3,7,2003,149.57,4,3,1,1,12703.1,2019,9,2,190.0,30.69412025895404,104.1173286943182
10280,成华区积步街11号,2,2|1,2,6,1997,60.42,4,31,1,0,11089.0,2018,6,6,67.0,30.658261227664727,104.12622476380055
10281,成华区长天路3号,2,3|1,3,7,1994,77.95,3,22,1,1,10904.4,2019,8,29,85.0,30.649785711082753,104.13119423479701
10282,成华区羊子山路68号,2,3|2,2,22,2008,89.91,3,10,1,1,13457.9,2019,11,18,121.0,30.708783087508987,104.10256818463608
10283,成华区建设南二路1号,2,2|1,2,6,1998,61.17,3,22,1,0,12587.9,2019,11,12,77.0,30.671332711298703,104.11454853757841
10284,成华区荆翠中路300号,2,1|1,2,18,2011,51.35,5,42,1,1,14605.6,2018,11,18,75.0,30.722090253126424,104.1134157033642
10285,成华区长融街30号,2,3|2,1,11,2006,120.0,5,16,1,1,22166.7,2018,12,21,266.0,30.66131887385395,104.15083600007792
10286,成华区猛追湾街26号,2,3|1,1,7,1994,98.69,5,12,1,1,14996.5,2019,12,3,148.0,30.672277822105737,104.10371644634913
10287,成华区双林北支路,2,3|2,3,44,2017,136.29,-1,7,1,0,23479.3,2020,1,12,320.0,30.66288243291985,104.11415026484751
10288,成华区桃蹊路166号,2,2|2,2,6,2002,85.66,3,3,1,0,14242.4,2019,11,18,122.0,30.689471330948553,104.11741940251369
10289,成华区东三环路1段石室中学斜对面,2,3|1,3,42,2016,84.25,5,23,1,0,16973.3,2019,5,17,143.0,30.69074340299132,104.17325427587652
10290,成华区迎晖路199号,2,2|1,3,18,2014,58.31,1,47,1,0,18864.7,2018,8,5,110.0,30.643601820780848,104.135711393698
10291,成华区成华区杉板桥路601号,2,1|1,1,26,2017,40.0,3,0,1,1,15000.0,2019,10,20,60.0,30.677185890064912,104.13874802564392
10292,成华区双荆路2号,2,4|2,1,20,2014,138.75,-1,35,1,1,22198.2,2019,1,22,308.0,30.71525760578536,104.10443258358644
10293,成华区二环路东二段22号,2,1|1,2,33,2012,50.53,5,46,1,0,17771.6,2019,12,12,89.8,30.67331440231543,104.11719273577928
10294,成华区将军碑东二路88号,2,1|0,1,21,-1,31.0,5,2,1,1,9677.4,2019,12,31,30.0,30.69433924183778,104.14616007915261
10295,成华区东虹路56号,2,2|2,1,11,2008,88.55,5,10,1,0,12987.0,2019,5,8,115.0,30.649062077931546,104.15978962848577
10296,成华区荆翠中路88号,2,2|1,3,18,2008,81.95,7,27,1,0,14643.1,2019,6,9,120.0,30.72142616632424,104.11910568904072
10297,成华区双成三路18号,2,2|1,1,26,2010,56.23,1,101,1,1,24542.1,2019,3,31,138.0,30.649925442185026,104.12309380618284
10298,成华区建设巷14号,2,1|0,3,7,2007,38.16,1,15,1,0,10482.2,2019,7,28,40.0,30.677320105843673,104.11025933807345
10299,成华区致力东街领地海纳时代,2,3|1,2,34,2016,72.37,2,3,1,0,16581.5,2020,3,6,120.0,30.70823800034595,104.12468828678509
10300,成华区东丽街138号,2,1|1,3,20,2008,51.87,-1,17,1,1,15905.1,2019,8,8,82.5,30.716354199842982,104.11698262212047
10301,成华区圣灯路111号,2,2|1,3,33,2009,88.95,2,5,1,1,16638.6,2019,10,8,148.0,30.679425870011393,104.13011399996364
10302,成华区欣然二街66号,2,3|2,1,27,2009,135.44,4,25,1,1,18827.5,2018,7,23,255.0,30.69272904415821,104.11167687045635
10303,-1,2,-1,-1,-1,-1,-1.0,-1,-1,0,0,-1,-1,-1,-1,-1,-1.0,-1.0
10304,成华区二仙桥东二路188号,2,2|1,1,6,2010,80.02,8,26,1,1,13246.7,2019,7,15,106.0,30.68465641356191,104.14211900690069
10305,成华区崔家店路237附1号,2,2|1,3,34,2011,83.42,8,10,1,1,13066.4,2019,8,4,109.0,30.665947386204962,104.13756491955844
10306,成华区华冠路4号,2,1|1,3,18,2008,54.13,7,20,1,0,11084.4,2018,7,5,60.0,30.704026490842534,104.17686175132995
10307,成华区新风路39号,2,3|2,3,7,1998,95.0,5,14,1,1,10736.8,2019,3,12,102.0,30.69338464558405,104.11538337690584
10308,成华区昭觉横路10号,2,1|0,3,19,-1,27.94,5,6,1,1,10737.3,2020,2,23,30.0,30.709897498400306,104.10820662644078
10309,成华区邛崃山路68号,2,2|2,2,11,2008,77.37,4,53,1,1,12278.7,2019,11,4,95.0,30.637334023453537,104.1550531267352
10310,成华区建设北路三段185号,2,3|2,1,18,2006,91.34,1,22,1,1,16203.2,2019,12,14,148.0,30.680003888648773,104.11158570861656
10311,成华区二仙桥东路46号,2,2|1,1,34,2015,57.0,4,11,1,1,18947.4,2019,12,6,108.0,30.68265297944428,104.13767805395099
10312,成华区槐树店一路300号,2,3|2,2,29,2017,93.43,4,10,1,1,28363.5,2018,2,23,265.0,30.665589283983017,104.10859155035178
10313,成华区荆竹东路与东荆路首创花与城一期,2,3|1,1,25,2016,72.0,5,11,1,0,17916.7,2019,1,9,129.0,30.71730383773596,104.12178298710472
10314,成华区荆翠西路2号,2,2|1,2,21,2015,78.98,5,73,1,1,15193.7,2019,5,11,120.0,30.722923403675093,104.1101574603473
10315,成华区将军碑东二路88号,2,3|1,3,24,2017,101.0,5,13,1,1,13663.4,2019,12,29,138.0,30.69433924183778,104.14616007915261
10316,成华区踏水桥北街二号,2,3|1,3,7,2000,93.59,4,17,1,0,12394.5,2018,7,3,116.0,30.68374537008777,104.10939347846019
10317,成华区万年场双成三路17号,2,4|2,3,30,2012,144.0,4,10,1,1,33333.3,2019,12,25,480.0,30.651464636043944,104.12339203193415
10318,成华区建材路18号,2,3|2,2,34,2012,80.0,8,8,1,1,18750.0,2019,11,30,150.0,30.650335915521477,104.14682421887377
10319,成华区荆翠中路88号,2,2|2,2,18,2008,78.49,3,14,1,0,13887.1,2019,7,8,109.0,30.72142616632424,104.11910568904072
10320,成华区欣然一街6号,2,3|1,1,27,2008,113.24,4,8,1,0,18544.7,2019,10,13,210.0,30.689808944709643,104.11111018340843
10321,成华区崔家店横一街56号,2,2|2,1,20,2015,54.8,8,24,0,1,15510.9,2019,4,28,85.0,30.66788995460639,104.13531978369907
